,par
0,258.3396313086653
1,0.38774445779375416
2,0.06793142613508966
3,0.059878351293733215
4,5.750661484577786e-06
5,1.389961686592926
6,0.05848480259847172
7,0.5591804690811154
8,5.081575724825502
9,18.363757723712503
10,0.0915003607916596
11,0.16008059134715674
12,0.14588256039482997
13,4.4059293030498484e-06
14,6965.029593932468
15,3.717148725476985
16,0.9848714734606264
17,0.9975461953929098
